Word	Freq	Count	Epitran	CharSiu	XPF	WikiPron
	1.8478480442117602	25				
	1.9217619659802305	26				
	1.5521923571378786	21				
	1.4043645136009377	19				
	1.626106278906349	22				
	1.1087088265270562	15				
	1.4043645136009377	19				
	1.626106278906349	22				
	2.1435037312856418	29				
	1.5521923571378786	21				
	2.4391594183595235	33				
	1.3304505918324674	18				
	5.617458054403751	76				
	1.7000202006748193	23				
	1.0347949047585856	14				
	2.2174176530541123	30				
	1.3304505918324674	18				
	1.3304505918324674	18				
	1.9956758877487009	27				
	2.069589809517171	28				
	1.478278435369408	20				
	3.326126479581168	45				
	1.2565366700639968	17				
	3.0304707925072867	41				
	1.626106278906349	22				
	1.7000202006748193	23				
	1.7000202006748193	23				
	2.069589809517171	28				
	1.1087088265270562	15				
	1.1087088265270562	15				
	1.1087088265270562	15				
	1.478278435369408	20				
	1.2565366700639968	17				
	2.4391594183595235	33				
	1.3304505918324674	18				
	2.365245496591053	32				
	1.5521923571378786	21				
	1.2565366700639968	17				
	1.626106278906349	22				
	1.1087088265270562	15				
	1.478278435369408	20				
	1.2565366700639968	17				
	1.1826227482955265	16				
	2.069589809517171	28				
	1.7000202006748193	23				
	1.1826227482955265	16				
	1.1087088265270562	15				
	1.1826227482955265	16				
	1.4043645136009377	19				
	1.7739341224432896	24				
	2.2913315748225824	31				
	1.4043645136009377	19				
	1.1826227482955265	16				
	1.626106278906349	22				
	2.5130733401279937	34				
	1.1826227482955265	16				
	2.2913315748225824	31				
	1.5521923571378786	21				
	1.3304505918324674	18				
	2.2174176530541123	30				
	1.4043645136009377	19				
	4.508749227876694	61				
	1.3304505918324674	18				
	1.1087088265270562	15				
	1.1087088265270562	15				
	1.478278435369408	20				
	1.2565366700639968	17				
	1.0347949047585856	14				
	1.9217619659802305	26				
	1.2565366700639968	17				
	2.069589809517171	28				
	1.626106278906349	22				
	1.1826227482955265	16				
	1.9217619659802305	26				
	1.478278435369408	20				
	1.1087088265270562	15				
	1.1087088265270562	15				
	2.069589809517171	28				
	1.8478480442117602	25				
	1.8478480442117602	25				
	1.5521923571378786	21				
	1.5521923571378786	21				
	1.2565366700639968	17				
	1.5521923571378786	21				
	1.3304505918324674	18				
	1.7000202006748193	23				
	1.5521923571378786	21				
	1.478278435369408	20				
	1.5521923571378786	21				
	1.9217619659802305	26				
	2.4391594183595235	33				
	1.0347949047585856	14				
	1.7739341224432896	24				
	1.7739341224432896	24				
	6.060941585014573	82				
	1.3304505918324674	18				
	2.2174176530541123	30				
	2.2174176530541123	30				
	1.1087088265270562	15				
	1.1826227482955265	16				
	1.1087088265270562	15				
	1.0347949047585856	14				
	2.365245496591053	32				
	1.7739341224432896	24				
	1.2565366700639968	17				
	1.478278435369408	20				
	1.1087088265270562	15				
	2.2174176530541123	30				
	2.2913315748225824	31				
	2.069589809517171	28				
	1.5521923571378786	21				
	1.1087088265270562	15				
	1.3304505918324674	18				
	1.1087088265270562	15				
	1.8478480442117602	25				
	2.734815105433405	37				
	1.8478480442117602	25				
	1.4043645136009377	19				
	3.5478682448865793	48				
	1.7000202006748193	23				
	1.5521923571378786	21				
	1.9217619659802305	26				
	2.586987261896464	35				
	2.365245496591053	32				
	1.7000202006748193	23				
	1.8478480442117602	25				
	2.2913315748225824	31				
	1.4043645136009377	19				
	1.1087088265270562	15				
	2.069589809517171	28				
	1.1087088265270562	15				
	1.0347949047585856	14				
	1.3304505918324674	18				
	1.626106278906349	22				
	1.4043645136009377	19				
	2.365245496591053	32				
	2.365245496591053	32				
	1.1087088265270562	15				
	1.4043645136009377	19				
	1.1087088265270562	15				
	1.478278435369408	20				
	1.2565366700639968	17				
	1.9217619659802305	26				
	1.4043645136009377	19				
	2.069589809517171	28				
	1.1087088265270562	15				
	1.5521923571378786	21				
	2.5130733401279937	34				
	1.478278435369408	20				
	1.2565366700639968	17				
	1.1826227482955265	16				
	1.478278435369408	20				
	1.1826227482955265	16				
	1.2565366700639968	17				
	1.0347949047585856	14				
	1.3304505918324674	18				
	1.1087088265270562	15				
	1.478278435369408	20				
	1.3304505918324674	18				
	2.1435037312856418	29				
	5.395716289098339	73				
	1.1087088265270562	15				
	1.1826227482955265	16				
	1.8478480442117602	25				
	1.5521923571378786	21				
	1.626106278906349	22				
	1.9217619659802305	26				
	1.2565366700639968	17				
	1.1826227482955265	16				
	1.478278435369408	20				
	2.365245496591053	32				
	1.1087088265270562	15				
	1.0347949047585856	14				
	1.1087088265270562	15				
	1.626106278906349	22				
	2.1435037312856418	29				
	1.7000202006748193	23				
	1.9217619659802305	26				
	2.2174176530541123	30				
	1.1826227482955265	16				
	1.626106278906349	22				
	1.0347949047585856	14				
	1.8478480442117602	25				
	1.5521923571378786	21				
	2.1435037312856418	29				
	1.2565366700639968	17				
	1.2565366700639968	17				
	1.1826227482955265	16				
	2.069589809517171	28				
	1.7000202006748193	23				
	1.478278435369408	20				
	1.5521923571378786	21				
	1.2565366700639968	17				
	1.2565366700639968	17				
	1.8478480442117602	25				
	1.7739341224432896	24				
	1.7000202006748193	23				
	1.4043645136009377	19				
	1.3304505918324674	18				
	1.5521923571378786	21				
	1.2565366700639968	17				
	1.1826227482955265	16				
	7.982703550994803	108				
	1.0347949047585856	14				
	5.026146680255987	68				
	1.9956758877487009	27				
	1.0347949047585856	14				
	1.7000202006748193	23				
	1.7739341224432896	24				
	1.5521923571378786	21				
	2.1435037312856418	29				
	1.0347949047585856	14				
	1.1826227482955265	16				
	1.0347949047585856	14				
	1.5521923571378786	21				
	1.1087088265270562	15				
